Scofflaw Cocktail,shaken,coupe,orange twist,
Scotch Old Fashioned,built,old-fashioned,none,
Scotch Toddy,hot,mug,lemon twist,
Seelbach Cocktail,bubbly,coupe,orange twist,
Sidecar,shaken,coupe,sugared rim,
South Side,,,mint sprig,
Southland Sipper,,,strawberry slice,
Southside Cocktail,shaken,coupe,mint sprig,
Southside Fizz,bubbly,,mint sprig,
Stinger,,,mint sprig,
Summer Negroni,,,lemon twist,
Tailspin,,,lemon twist,
Tequila 75,bubbly,,lime twist,
The Bamboo,,,lemon twist,
The Bitter Handshake,stirred,old-fashioned,orange twist,Make syrup by combining rye and sugar 1:1 then heating until combined. Simmer blood orange juice until reduced by a third or so then let cool. Stir all ingredients with ice until cold and then strain into an old-fashioned glass with one large ice cube.
Tom Collins,shaken,,lemon slice,
Toronto,stirred,coupe,orange twist,
Trident,stirred,coupe,lemon twist,
Vesper,,,lemon twist,
Vieux Carre,stirred,old-fashioned,lemon twist,Combine ingredients in mixing glass and stir with ice until cold
Ward 8,,,brandied cherry,
Whiskey Sour,fizz,coupe,lemon slice,
Widow's Kiss,stirred,coupe,mint sprig,
Zim Zala Bim,stirred,coupe,lemon twist,Stir with no ice until sugar dissolves. Then add ice and stir until chilled. Strain into glass. Squeeze the oil from the lemon peel over the glass and discard.
The Frank O’Hara,stirred,coupe,lemon twist,Combine ingredients in mixing glass and stir with ice until cold
